 	A0·其他
¡	A1·其他
¢	A2·其他
£	A3·其他
¤	A4·其他
¥	A5·其他
¦	A6·其他
§	A7·其他
©	A9·其他
¬	AC·其他
®	AE·其他
°	B0·其他
±	B1·其他
²	B2·其他
³	B3·其他
µ	B5·其他
¶	B6·其他
·	B7·符号
¹	B9·其他
¼	BC·其他
½	BD·其他
¾	BE·其他
¿	BF·其他
À	C0·其他
Á	C1·其他
Â	C2·其他
Ã	C3·其他
Ä	C4·其他
Å	C5·其他
Æ	C6·其他
Ç	C7·其他
È	C8·其他
É	C9·其他
Ê	CA·其他
Ë	CB·其他
Ì	CC·其他
Í	CD·其他
Î	CE·其他
Ï	CF·其他
Ð	D0·其他
Ñ	D1·其他
Ò	D2·其他
Ó	D3·其他
Ô	D4·其他
Õ	D5·其他
Ö	D6·其他
×	D7·其他
Ø	D8·其他
Ù	D9·其他
Ú	DA·其他
Û	DB·其他
Ü	DC·其他
Ý	DD·其他
Þ	DE·其他
ß	DF·其他
à	E0·其他
á	E1·其他
â	E2·其他
ã	E3·其他
ä	E4·其他
å	E5·其他
æ	E6·其他
ç	E7·其他
è	E8·其他
é	E9·其他
ê	EA·其他
ë	EB·其他
ì	EC·其他
í	ED·其他
î	EE·其他
ï	EF·其他
ð	F0·其他
ñ	F1·其他
ò	F2·其他
ó	F3·其他
ô	F4·其他
õ	F5·其他
ö	F6·其他
÷	F7·其他
ø	F8·其他
ù	F9·其他
ú	FA·其他
û	FB·其他
ü	FC·其他
ý	FD·其他
þ	FE·其他
ÿ	FF·其他
Ā	100·其他
ā	101·其他
Ē	112·其他
ē	113·其他
Ě	11A·其他
ě	11B·其他
ħ	127·其他
Ī	12A·其他
ī	12B·其他
Ń	143·其他
ń	144·其他
Ň	147·其他
ň	148·其他
ŋ	14B·其他
Ō	14C·其他
ō	14D·其他
œ	153·其他
Ū	16A·其他
ū	16B·其他
Ÿ	178·其他
ƒ	192·其他
Ǎ	1CD·其他
ǎ	1CE·其他
Ǐ	1CF·其他
ǐ	1D0·其他
Ǒ	1D1·其他
ǒ	1D2·其他
Ǔ	1D3·其他
ǔ	1D4·其他
Ǖ	1D5·其他
ǖ	1D6·其他
Ǘ	1D7·其他
ǘ	1D8·其他
Ǚ	1D9·其他
ǚ	1DA·其他
Ǜ	1DB·其他
ǜ	1DC·其他
Ǹ	1F8·其他
ǹ	1F9·其他
ɐ	250·其他
ɑ	251·其他
ɒ	252·其他
ɓ	253·其他
ɔ	254·其他
ɕ	255·其他
ɖ	256·其他
ɗ	257·其他
ɘ	258·其他
ə	259·其他
ɚ	25A·其他
ɛ	25B·其他
ɜ	25C·其他
ɝ	25D·其他
ɞ	25E·其他
ɟ	25F·其他
ɠ	260·其他
ɡ	261·其他
ɢ	262·其他
ɣ	263·其他
ɤ	264·其他
ɥ	265·其他
ɦ	266·其他
ɧ	267·其他
ɨ	268·其他
ɪ	26A·其他
ɫ	26B·其他
ɬ	26C·其他
ɭ	26D·其他
ɮ	26E·其他
ɯ	26F·其他
ɰ	270·其他
ɱ	271·其他
ɲ	272·其他
ɳ	273·其他
ɴ	274·其他
ɵ	275·其他
ɶ	276·其他
ɷ	277·其他
ɸ	278·其他
ɹ	279·其他
ɺ	27A·其他
ɻ	27B·其他
ɼ	27C·其他
ɽ	27D·其他
ɾ	27E·其他
ɿ	27F·其他
ʀ	280·其他
ʁ	281·其他
ʂ	282·其他
ʃ	283·其他
ʄ	284·其他
ʅ	285·其他
ʆ	286·其他
ʇ	287·其他
ʈ	288·其他
ʉ	289·其他
ʊ	28A·其他
ʋ	28B·其他
ʌ	28C·其他
ʍ	28D·其他
ʎ	28E·其他
ʏ	28F·其他
ʐ	290·其他
ʑ	291·其他
ʒ	292·其他
ʔ	294·其他
ʕ	295·其他
ʖ	296·其他
ʘ	298·其他
ʙ	299·其他
ʛ	29B·其他
ʜ	29C·其他
ʝ	29D·其他
ʞ	29E·其他
ʟ	29F·其他
ʡ	2A1·其他
ʢ	2A2·其他
ʣ	2A3·其他
ʤ	2A4·其他
ʥ	2A5·其他
ʦ	2A6·其他
ʧ	2A7·其他
ʨ	2A8·其他
ʩ	2A9·其他
ʪ	2AA·其他
ʫ	2AB·其他
ʰ	2B0·其他
ʲ	2B2·其他
ʳ	2B3·其他
ʷ	2B7·其他
ʸ	2B8·其他
ˆ	2C6·其他
ˇ	2C7·其他
ˉ	2C9·其他
ˊ	2CA·其他
ˋ	2CB·其他
ː	2D0·其他
̀	300·其他
́	301·其他
̂	302·其他
̄	304·其他
̈	308·其他
̌	30C·其他
̚	31A·其他
Α	391·其他
Β	392·其他
