 	gtzm,gxzm
¡	aabd
¢	aahb
£	aahb
¤	aahb,nrml,nrkl
¥	bdrd,aahb
¦	aabd
§	aabd,oyey,oymx
©	ngfx,npfx,ngfi,npfe,aabp
¬	aalj,kcaa
®	vsqq,ssle,aabp
°	tgex,aats
±	airl,aasx
²	ivbd,ausy
³	ivcd,susy
µ	aats,oirm,oiqm
¶	aabd,ncev
·	tyaj,xyaj,aabd
¹	ivav
¼	aafs
½	aafs
¾	aafs
¿	aabd
À	aazd
Á	aazd
Â	aazd
Ã	aazd
Ä	aazd
Å	aazd
Æ	aazd
Ç	aazd
È	aazd
É	aazd
Ê	aazd
Ë	aazd
Ì	aazd
Í	aazd
Î	aazd
Ï	aazd
Ð	aazd
Ñ	aazd
Ò	aazd
Ó	aazd
Ô	aazd
Õ	aazd
Ö	aazd
×	mftr,aasx
Ø	aazd
Ù	aazd
Ú	aazd
Û	aazd
Ü	aazd
Ý	aazd
Þ	aazd
ß	aazx
à	aazx,aapy
á	aazx,aapy
â	aazx,aapy
ã	aazx
ä	aazx
å	aazx
æ	aazx,ybae
ç	aazx
è	aazx,aapy
é	aazx,aapy
ê	aazx,aapy
ë	aazx
ì	aazx,aapy
í	aazx,aapy
î	aazx,aapy
ï	aazx
ð	aazx,ybth
ñ	aazx
ò	aazx,aapy
ó	aazx,aapy
ô	aazx,aapy
õ	aazx
ö	aazx
÷	yomf,aasx
ø	aazx
ù	aazx,aapy
ú	aazx,aapy
û	aazx,aapy
ü	aazx,aapy,pyyu
ý	aazx
þ	aazx
ÿ	aazx
Ā	aazd
ā	aazx,aapy
Ē	aazd
ē	aazx,aapy
Ě	aazd
ě	aazx,aapy
ħ	aayb
Ī	aazd
ī	aazx,aapy
Ń	aazd
ń	aazx,aapy
Ň	aazd
ň	aazx,aapy
ŋ	aayb,ybng
Ō	aazd
ō	aazx,aapy
œ	aayb,yboe
Ū	aazd
ū	aazx,aapy
Ÿ	aazd
ƒ	aahb
Ǎ	aazd
ǎ	aazx,aapy
Ǐ	aazd
ǐ	aazx,aapy
Ǒ	aazd
ǒ	aazx,aapy
Ǔ	aazd
ǔ	aazx,aapy
Ǖ	aazd
ǖ	aazx,aapy
Ǘ	aazd
ǘ	aazx,aapy
Ǚ	aazd
ǚ	aazx,aapy
Ǜ	aazd
ǜ	aazx,aapy
Ǹ	aazd
ǹ	aazx,aapy
ɐ	aayb
ɑ	aayb
ɒ	aayb
ɓ	aayb
ɔ	aayb,ybor
ɕ	aayb
ɖ	aayb
ɗ	aayb
ɘ	aayb
ə	aayb,yber
ɚ	aayb
ɛ	aayb,ybee
ɜ	aayb
ɝ	aayb
ɞ	aayb
ɟ	aayb
ɠ	aayb
ɡ	aayb
ɢ	aayb
ɣ	aayb
ɤ	aayb
ɥ	aayb
ɦ	aayb
ɧ	aayb
ɨ	aayb
ɪ	aayb
ɫ	aayb
ɬ	aayb
ɭ	aayb
ɮ	aayb
ɯ	aayb
ɰ	aayb
ɱ	aayb
ɲ	aayb
ɳ	aayb
ɴ	aayb
ɵ	aayb
ɶ	aayb
ɷ	aayb
ɸ	aayb
ɹ	aayb
ɺ	aayb
ɻ	aayb
ɼ	aayb
ɽ	aayb
ɾ	aayb
ɿ	aayb
ʀ	aayb
ʁ	aayb
ʂ	aayb
ʃ	aayb,ybsh
ʄ	aayb
ʅ	aayb
ʆ	aayb
ʇ	aayb
ʈ	aayb
ʉ	aayb
ʊ	aayb
ʋ	aayb
ʌ	aayb
ʍ	aayb
ʎ	aayb
ʏ	aayb
ʐ	aayb
ʑ	aayb
ʒ	aayb,ybzh
ʔ	aayb,ybhs,jwes
ʕ	aayb
ʖ	aayb
ʘ	aayb
ʙ	aayb
ʛ	aayb
ʜ	aayb
ʝ	aayb
ʞ	aayb
ʟ	aayb
