# encoding: utf-8
# Manually confirmed Mainland glyph preferred Cangjie5 codes.
# text<TAB>code
肞	bei
橷	dlpn
沜	elln
湠	eukf
兏	hymu
覑	lnbuu
牉	lnfq
牘	lngwc
版	lnhe
牐	lnhjx
牑	lnisb
牖	lnisb
牕	lnhwp
牔	lnibi
牋	lnii
牗	lnilb
牍	lnjnk
牏	lnomn
牎	lnpkp
牒	lnptd
牊	lnshr
牓	lnybs
烎	mtf
魸	nflln
剱	ooshi
扸	qlln
黻	tbike
剙	ttshc
佟	ohey
凞	imluf
圱	hkg
垹	gqjl
墫	gtwi
孰	ydknk
懬	itcp
戢	risj
挷	qqjl
梆	dqjl
殩	mnyed
毋	wjh
熟	ykf
癢	ktov
礻	inf
簰	hlnj
綁	vfqjl
膥	dsobo
蝂	lilne
蝳	liqmy
蟄	gklmi
辶	inno
鑝	ctyj
閝	anoii
養	toiav
麭	depru
鼎	buvmn
牌	lnhwj
片	llmn
