# encoding: utf-8
# Mainland glyph preferred Cangjie5 codes.
# Resolve cj5-90000.txt unique source-table intersections first, then chidic.eduhk.hk GBK entries.
# A unique non-x/z GBK code wins; otherwise normalize a unique x-prefixed GBK code when its
# stripped code exists in the source table.
晭	abgr
昄	ahe
昸	ahey
晧	ahgr
晷	ahyr
鵖	aihaf
既	aimvu
昈	ais
晻	aklu
堲	alg
冕	anau
晚	anau
闙	anirk
闐	anjbc
閹	anklu
開	anmt
閻	annhx
闞	annjk
閝	anoii
閭	anrr
昤	aoii
晦	aowy
旳	api
昀	apim
暳	aqjm
曂	atlc
暛	atqm
鱀	aunwf
曓	auuj
骶	bbhvi
髆	bbibi
髍	bbidd
骫	bbkni
髏	bbllv
骲	bbpru
髊	bbtqm
骿	bbtt
鼏	bbul
賙	bcbgr
販	bche
貾	bchvi
賊	bcij
贉	bcmwj
賹	bctct
賆	bctt
賺	bctxc
肞	bei
鄬	bfnl
周	bgr
噕	bhfr
貗	bhllv
冗	bhn
貐	bhomn
豹	bhpi
貖	bhtct
胝	bhvi
膊	bibi
胈	bike
臁	bitc
虢	biypn
肺	bjb
蠈	bjlmi
脎	bkd
腌	bklu
肒	bkni
膢	bllv
膤	bmbm
具	bmmc
冤	bnai
脃	bnau
脕	bnau
脠	bnkm
膙	bnri
朎	boii
贼	boij
腧	bomn
肑	bpi
胞	bpru
脭	brmg
肕	bshi
膉	btct
朕	btk
膳	bttr
膁	btxc
睭	bubgr
眅	buhe
眡	buhvi
睙	buisk
瞋	bujbc
瞜	bullv
睌	bunau
矎	bunbe
瞰	bunjk
睩	bunme
睮	buomn
盷	bupim
睈	burmg
眹	butk
鼎	buvml
鎾	cabt
銏	cbbm
錭	cbgr
鐤	cbul
鋵	chdu
鈑	che
鉖	chey
鈓	chg
銩	chgi
鋯	chgr
鎦	chhw
鍤	chjx
鉛	chnr
鎛	cibi
鉥	cid
鎺	cifm
鎯	ciil
鈸	cike
銂	cill
鈩	cis
鍽	cisb
錑	cisk
鐮	citc
鎮	cjbc
鑧	cjti
鎩	ckde
釻	ckni
鏤	cllv
銒	cmjj
銢	cmme
鉶	cmtn
鐕	cmua
鐔	cmwj
銫	cnau
鋔	cnau
錎	cnhx
鋋	cnkm
鏹	cnri
錚	cnsd
鈴	coii
鍮	comn
釣	cpi
鈞	cpim
鉋	cpru
鏏	cqjm
鋥	crmg
鋘	crmk
豃	crnjk
鋁	crr
鐉	cruc
釰	cshi
鑑	csit
鑬	csiu
鐠	ctca
鎰	ctct
錓	ctgu
鐄	ctlc
鎈	ctqm
鉼	ctt
鐥	cttr
鐏	ctwi
鎌	ctxc
鑝	ctyj
尦	cupi
鐖	cvii
曾	cwa
鎅	cwol
鏟	cyhm
鋶	cyiu
錿	cypn
鎹	cytk
鐩	cyto
楖	dail
櫭	daum
椆	dbgr
檙	dbul
楂	ddam
樑	decd
麴	depfd
皰	depru
槸	dggi
櫛	dhal
鼒	dhbul
板	dhe
柊	dhey
梏	dhgr
橮	dhhc
栝	dhjr
檓	dhme
栃	dhms
槪	dhpu
柢	dhvi
櫷	dhxu
榹	dhyn
榊	difl
樃	diib
榔	diil
柭	dike
栦	dill
栨	dimo
枦	dis
楄	disb
棙	disk
椖	diss
槴	disu
槙	djbc
植	djbm
樧	dkce
榝	dkde
樓	dllv
賴	dlnbc
橷	dlpn
樰	dmbm
榗	dmca
枅	dmt
橬	dmua
梚	dnau
桷	dnbq
極	dnem
橄	dnjk
梴	dnkm
椂	dnme
榒	dnmm
棦	dnsd
櫈	dntn
栴	doby
栣	dohg
