# 四简（强制截断）
颢	afmb
骼	bbhe
骺	bbhm
骰	bbhn
骶	bbhp
骶	bbhv
髀	bbhw
髂	bbjh
髌	bbjo
髋	bbjt
鹘	bbpy
髑	bbwl
骸	bbyv
貉	bhhe
貔	bhhw
赐	boap
赂	bohe
贬	bohi
赙	boib
赇	boij
赎	bojn
祭	bomm
赈	bomm
赋	bomp
罂	booj
赊	boom
赆	boso
赔	boyt
赅	boyv
瞑	buba
睇	bucn
瞠	bufb
瞵	bufd
睦	bugc
瞅	buhd
眨	buhi
繇	buhv
睥	buhw
瞍	buhx
睨	buhx
睃	buic
睹	bujk
睫	bujl
眈	bulb
睚	bumg
瞰	bumj
眄	buml
瞟	bumw
瞻	bunc
眵	buni
瞰	bunj
睽	buno
瞪	buno
矍	buog
睑	buom
鹞	bupy
瞩	bush
眦	buym
眩	buyv
梵	ddhn
麓	ddix
楚	ddny
鲎	fbnw
赏	fbrb
党	fbrh
常	fbrl
裳	fbry
糌	fdho
糌	fdhy
粮	fdia
糁	fdik
糠	fdil
粽	fdjm
粞	fdmc
粳	fdml
粝	fdmm
糅	fdnh
糨	fdni
糈	fdno
糨	fdnr
糇	fdon
糕	fdtg
糍	fdtv
糙	fdyh
粹	fdyo
觳	gbhn
甏	ghmv
螫	gklm
彀	gnhn
趑	goim
趑	gomm
趔	gomn
趋	gons
趣	gosj
皤	hahd
皓	hahg
皓	hahq
皑	haus
璺	hbmg
稠	hdbg
稻	hdbh
稃	hdbn
稠	hdbq
穑	hdgc
秩	hdhq
稗	hdhw
稂	hdia
秫	hdij
稽	hdiu
嵇	hdiu
稹	hdjb
稼	hdjm
秧	hdlb
秭	hdlx
秤	hdmf
秀	hdnh
移	hdni
稳	hdns
稔	hdoi
稹	hdpb
程	hdrh
稆	hdrh
程	hdrm
稷	hdwc
稿	hdyr
穰	hdyr
螽	heim
螽	heyl
靠	hgrl
躲	hhhn
孵	hhsl
卵	hhsl
黧	hhwg
鸱	hipy
魑	hiyu
颀	hlmb
螽	hmli
飕	hnhx
夙	hnmn
飑	hnpr
得	hoam
徭	hobo
彼	hodh
衍	hoem
街	hogg
徒	hogy
徨	hoha
役	hohn
瓞	hohq
徼	hohs
徘	holm
衙	homr
征	homy
御	hoom
衔	hoop
御	hoov
徽	houf
徵	houg
彷	hoyh
徙	hoyl
特	hqgd
牿	hqhg
牿	hqhq
牦	hqhq
犏	hqhs
犏	hqis
犄	hqkm
牺	hqmc
牾	hqmm
拜	hqmq
犍	hqnk
物	hqph
靠	hqrl
舐	hrhv
鸹	hrpy
殷	hshn
毪	huih
氇	hunw
舰	hybh
艘	hyhx
螽	hyli
舾	hymc
舸	hymn
艋	hynd
艉	hysh
艨	hytb
艏	hyth
艚	hytw
舫	hyyh
艟	hyyt
舷	hyyv
麾	ichq
麾	idhq
禧	ifgr
祗	ifhp
祗	ifhv
祧	iflm
禊	ifqh
祸	ifro
蹙	ifry
禚	iftg
祺	iftm
祉	ifyl
禳	ifyr
飙	ikhn
凇	imdc
冱	immv
净	imns
冯	imnv
冷	imoi
冷	imom
凝	impk
凛	imyw
麟	ipfd
贰	ipmm
鸢	ippy
谒	ivap
诨	ivbk
谖	ivbm
谣	ivbo
谏	ivdw
谠	ivfb
诱	ivhd
诿	ivhd
诰	ivhg
诜	ivhg
谢	ivhh
诛	ivhj
诟	ivhm
诉	ivhm
设	ivhn
讽	ivhn
诋	ivhv
谀	ivhx
诚	ivih
诶	ivio
谘	ivio
谝	ivis
谳	ivjb
谊	ivjb
诧	ivjh
诸	ivjk
读	ivjn
诳	ivkh
诽	ivlm
谰	ivls
评	ivmf
语	ivmm
诃	ivmn
诬	ivmo
诼	ivms
谮	ivmu
讶	ivmv
谭	ivmw
证	ivmy
谵	ivnc
谲	ivnh
谄	ivnh
诵	ivni
诞	ivnk
诡	ivnm
诤	ivns
诌	ivns
谗	ivnu
谯	ivog
诊	ivoh
谶	ivoi
谂	ivoi
诠	ivom
谕	ivom
诲	ivow
谧	ivph
谐	ivpp
谍	ivpt
误	ivrm
谔	ivrr
诏	ivsh
诹	ivsj
诓	ivsm
谬	ivsm
诩	ivsm
词	ivsm
谟	ivta
谫	ivtb
谱	ivtc
谥	ivtc
诺	ivtk
谨	ivtl
谋	ivtm
谌	ivtm
谦	ivtx
谎	ivty
谡	ivwc
谛	ivyb
谤	ivyb
谪	ivyc
谜	ivyf
谚	ivyh
访	ivyh
谴	ivyl
谇	ivyo
谑	ivyp
谆	ivyr
谅	ivyr
谙	ivyt
该	ivyv
橐	jbmr
蠹	jbmr
窖	jchg
窆	jchi
窳	jcho
窖	jchq
窕	jclm
颠	jcmb
窒	jcmi
窍	jcmm
穿	jcmv
窿	jcnl
窑	jcoj
窬	jcom
窬	jcom
窘	jcsk
斡	jjoy
觌	jkbh
耄	jphq
耋	jpmi
鹕	jrbp
嘏	jrrs
猩	khah
猸	khah
猾	khbb
猹	khda
猹	khdb
獭	khdl
猁	khhd
獯	khhg
猊	khhx
狼	khia
狻	khic
狁	khih
犹	khik
狱	khiv
狩	khjd
狞	khjm
猢	khjr
獠	khkc
猗	khkm
狮	khll
狒	khll
獗	khmt
獬	khnb
狲	khnd
猱	khnh
猕	khnn
狰	khns
犸	khnv
狳	khom
狯	khom
猃	khom
猞	khom
狴	khpp
獾	khtr
猡	khwl
猥	khwm
狺	khym
猝	khyo
獐	khyt
獍	khyt
辍	kqee
辂	kqhe
轷	kqhf
轿	kqhk
轶	kqhq
轹	kqhv
轼	kqip
辘	kqix
轾	kqmi
轲	kqmn
辐	kqmr
轭	kqms
轸	kqoh
辁	kqom
辏	kqqk
轫	kqsh
轫	kqsh
轺	kqsh
辄	kqsj
辙	kqyb
颊	ktmb
幌	lbaf
幔	lbaw
幡	lbhd
帆	lbhn
帙	lbhq
帱	lbqk
帻	lbqm
幞	lbtc
帧	lbyb
幢	lbyt
幛	lbyt
蜴	liap
螟	liba
蜩	libg
览	libh
蚬	libh
蜉	libn
蜩	libq
蠼	libu
蝤	licm
蜕	licr
蝉	licw
螳	lifb
蝼	lifd
蟛	ligt
蝗	liha
蝌	lihd
蜊	lihd
蟋	lihd
蟠	lihd
蛛	lihj
蛞	lihj
蛾	lihq
蚝	lihq
蝙	lihs
螅	lihu
蜱	lihw
螋	lihx
蠊	liic
蠊	liih
蛑	liih
螂	liii
螗	liil
蜮	liir
蝙	liis
蠊	liit
螂	liiv
蝻	lijb
蟪	liji
蜿	lijn
蛲	lijp
蝴	lijr
蝰	likg
蠕	limb
螈	limh
蛭	limi
蛎	limm
蚵	limn
蝠	limr
蝙	lims
蚜	limv
螵	limw
蟓	lina
蟾	linc
蜢	lind
蛹	lini
蜓	link
蜒	link
蜒	link
蝮	lioa
蛉	lioi
蚧	liol
蛉	liom
蜍	liom
蝓	liom
蝓	liom
蛤	liom
蝽	liqk
螓	liqk
蜈	lirm
蜗	liro
蜈	lirv
蟆	lita
蝾	litb
蠓	litb
蝤	litc
蟮	litg
蜣	litg
蟒	liti
蟥	litl
蟥	litm
螨	litm
蜞	litm
蠖	lito
蜣	litq
蟮	litt
螬	litw
蠛	litw
蠛	litw
蝈	liwm
螃	liyb
蛟	liyc
蟀	liyi
蛴	liyk
蝣	liys
蟑	liyt
螭	liyu
牖	llhs
牌	llhw
牖	llis
畅	llns
牒	llpt
邶	lmpn
牖	lnhs
牌	lnhw
牖	lnis
牒	lnpt
阌	lsbb
阐	lscw
阑	lsdw
阖	lsgi
阁	lshe
阍	lshp
阋	lshx
阆	lsia
阉	lskl
闫	lsmm
阎	lsnh
阚	lsnj
阕	lsno
阄	lsnw
闶	lsyh
阏	lsys
阂	lsyv
霜	mbdb
霪	mbeb
霓	mbhx
霭	mbiv
霏	mblm
颥	mbmb
雳	mbmk
雩	mbmm
震	mbmm
零	mboi
零	mbom
霉	mbow
雹	mbpr
雹	mbps
鹂	mbpy
鸸	mbpy
霞	mbrs
翮	mbsm
霹	mbsr
霰	mbtb
霁	mbyk
霎	mbyt
禧	mfgr
祗	mfhp
瓢	mfhv
祧	mflm
歪	mfmy
禊	mfqh
禚	mftg
祺	mftm
祉	mfyl
禳	mfyr
瑁	mgab
琨	mgap
瑷	mgbb
珊	mgbb
琛	mgbc
现	mgbh
珲	mgbk
瑗	mgbm
瑶	mgbo
璎	mgbo
玻	mgdh
珞	mghe
珠	mghj
珩	mgho
瑰	mghu
瓒	mghu
璁	mghw
琅	mgia
球	mgij
珑	mgik
瑭	mgil
琮	mgjm
琬	mgjn
珈	mgks
珧	mglm
顼	mgmb
珏	mgmg
琊	mgmh
珂	mgmn
琢	mgms
甄	mgmv
玲	mgoi
琴	mgoi
玳	mgoi
瑶	mgom
玲	mgom
瑜	mgom
瑜	mgom
臻	mgqk
璐	mgrm
瑕	mgrs
珉	mgrv
琚	mgsj
璞	mgtc
璜	mgtl
瑛	mgtl
瑾	mgtl
璜	mgtm
琪	mgtm
璀	mguo
璨	mgye
琉	mgyi
琉	mgyi
斑	mgyk
琏	mgyk
琥	mgyp
琥	mgyp
璩	mgyp
琼	mgyr
璇	mgys
璋	mgyt
餮	mhoi
顸	mjmb
蛩	mklm
跫	mkry
