# 自动 z/x 后缀审阅文件；构建时覆盖生成
杲	adz
炅	afz
昈	aisz
旰	amjz
閂	anmz
旵	auz
艮	avz
旼	aykz
冎	bbz
罙	bcdz
戝	bciz
寽	bdiz
脒	bfdz
胠	bgiz
冗	bhnz
脎	bkdz
脄	bkfz
肽	bkiz
冃	bmmx
冄	bmmz
囗	bmx
肛	bmz
肊	bnz
胊	bprz
冋	brz
肼	bttz
皿	btz
眀	bubz
胐	buuz
胪	bysz
鈅	cbz
釱	ckz
鈡	clz
釭	cmz
鈎	cpiz
釦	crz
曽	cwaz
鈿	cwz
査	dbmz
枬	dbyz
朿	dbz
壄	ddgz
板	dhez
杮	djbz
憗	dkpx
慭	dkpz
杕	dkx
夬	dkz
栢	dmaz
扌	dmx
杠	dmz
杴	dnoz
柞	dosz
朼	dpz
栟	dttz
梱	dwdz
杧	dyvz
汩	eax
汨	eaz
懘	ebpx
懑	ebpz
淦	ecz
汉	eez
汳	ehez
燙	ehfz
叉	eiz
沽	ejrz
洟	eknz
汏	ekz
汐	eniz
淮	eogz
柒	epdz
汋	epiz
泃	eprz
泔	etmz
沺	ewz
泸	eysz
尙	fbrx
炯	fbrz
炔	fdkz
焇	ffbz
氺	ffz
灶	fgz
烣	fkfz
灴	fmz
尐	foz
炜	fqsz
畑	fwz
愨	gepz
堼	gigz
摰	giqz
圹	giz
坆	gokz
坵	gomz
圠	guz
垯	gykz
圤	gyz
笪	hamz
皀	hapz
癿	hauz
奧	hbkz
秉	hdlz
槃	hedz
夊	hex
冬	heyz
夂	hez
灬	hfz
棃	hhdz
彡	hhhz
筞	hjdz
亻	hlz
梨	hndz
殳	hnez
筏	hoiz
慫	hopz
媭	hovz
彳	hoz
筍	hpaz
乇	hpz
牝	hqpz
吿	hqrz
峊	hruz
忄	hyz
宀	ibz
床	idz
慼	ifpz
丷	ihz
厸	iix
戔	iiz
庋	ijez
戋	ijz
犬	ikx
庆	ikz
冫	imx
亠	imz
楽	iodx
庥	iodz
垐	iogz
麃	ipfz
垄	ipgz
忒	ippx
庇	ippz
庀	ipz
怠	irpz
弁	itz
讧	ivmz
讣	ivyz
戉	ivz
戭	jciz
穵	jcnz
宋	jdz
撃	jeqz
宊	jikz
廾	jjx
艹	jjz
宄	jknz
宆	jnz
