# 三简
顯	afm
既	aim
量	amw
聞	ans
關	anv
題	aom
昭	ash
暗	ayt
爱	bbk
愛	bbp
體	bbt
辭	bby
賜	bca
財	bcd
賊	bci
敗	bco
脱	bcr
彩	bdh
勝	bfq
脚	bgi
貌	bhh
股	bhn
胜	bhq
刚	bkl
助	bmk
具	bmm
冠	bmu
则	bol
祭	bom
眼	bua
見	buh
睛	buq
腿	bya
写	bys
脑	byu
爸	cka
爷	cks
尊	cmw
卻	crs
刺	dbl
禁	ddm
楚	ddn
樹	dgt
析	dhm
桓	dma
極	dme
标	dmm
標	dmw
杨	dns
模	dta
樣	dtg
權	dtr
核	dyv
温	eab
漫	eaw
观	ebh
洞	ebm
波	edh
洛	ehe
洗	ehg
派	ehh
洲	ehl
激	ehs
浪	eia
滅	eih
漸	ejj
湖	ejr
酒	emc
源	emh
河	emn
漂	emw
汽	eom
港	etc
滿	etl
满	etm
济	eyk
游	eys
觉	fbb
学	fbn
粉	fdc
精	fdq
料	fdy
勞	ffb
省	fhb
判	fql
卷	fqs
場	gam
城	gih
勢	gik
域	gir
却	gis
執	gjk
趙	gof
越	goi
赶	gom
超	gos
均	gpi
臺	grb
喪	grr
喜	grt
境	gyt
節	hai
皇	ham
簡	han
覺	hbb
制	hbl
學	hbn
算	hbu
種	hdh
秀	hdn
積	hdq
科	hdy
务	hek
等	hgd
動	hgk
顧	hgm
卿	hha
射	hhd
须	hhm
笔	hhq
篇	hhs
质	hjb
段	hjh
管	hjr
質	hlb
欣	hln
简	hls
歸	hms
風	hnh
第	hnl
得	hoa
衛	hod
待	hog
術	hoi
德	hoj
律	hol
行	hom
衡	hon
從	hoo
微	hou
後	hov
往	hoy
特	hqg
物	hqp
敌	hro
赞	hub
魏	hvh
興	hxb
兒	hxh
與	hxy
船	hyc
航	hyy
魔	ich
视	ifb
禮	ift
威	ihm
底	ihp
參	iii
廟	ijj
参	ikh
為	ikn
为	iks
决	imd
冷	imo
况	imr
序	ini
庭	ink
廢	ino
资	iob
府	iod
應	iog
座	ioo
盛	isb
廣	itl
调	ivb
讨	ivd
谈	ivf
话	ivh
试	ivi
语	ivm
请	ivq
识	ivr
记	ivs
讲	ivt
课	ivw
该	ivy
察	jbo
南	jbt
索	jbv
窗	jch
教	jdo
寫	jhx
專	jid
載	jij
韓	jjd
輔	jji
輕	jjm
韩	jjq
孝	jkn
考	jky
宣	jma
宝	jmg
室	jmi
完	jmm
富	jmr
家	jms
寶	jmu
定	jmy
卖	jny
寧	jpb
密	jph
克	jrh
官	jrl
故	jro
塞	jtc
猶	khc
独	khl
狂	khm
猛	khn
狗	khp
犯	khs
獲	kht
雄	kio
奇	kmn
病	kmo
痛	kni
轻	kqn
转	kqq
较	kqy
套	ksm
畫	lgw
装	lgy
補	lij
牌	llh
将	lmb
盡	lmf
状	lmi
费	lnb
闻	lss
厚	man
丽	mbi
融	mbl
需	mbm
零	mbo
憂	mbp
露	mbr
雪	mbs
爾	mfb
願	mfm
班	mgh
到	mgl
玩	mgm
珍	mgo
理	mgw
歷	mhd
邪	mhn
雅	mho
晉	mii
形	mjm
敢	mjo
兩	mlb
亞	mll
项	mmb
政	mmo
巧	mmv
殊	mnh
列	mnl
顶	mnm
破	mrd
研	mrm
确	mrn
房	msy
刑	mtl
頭	mtm
顾	mum
互	mvn
醒	mwa
副	mwl
票	mwm
配	mws
正	myl
免	nah
勇	nbk
負	nbu
弹	ncw
孫	ndh
孩	ndy
務	nhh
弱	nhn
強	nil
延	nkh
建	nkl
際	nlb
陳	nld
陵	nlg
降	nlh
院	nlj
阵	nlk
阿	nlm
隐	nln
陆	nlq
随	nly
危	nms
預	nnm
豫	nnn
飛	noh
蛋	nol
登	nom
發	non
饭	nvh
复	oah
俱	obm
俗	oco
舍	ohj
低	ohp
偏	ohs
仰	ohv
食	oia
傅	oib
领	oim
餘	oio
值	ojb
傳	oji
使	ojl
短	okm
修	olh
们	oli
候	oln
伸	olw
優	omb
便	oml
會	omw
氣	onf
仍	onh
健	onk
侯	onm
傷	ooa
伤	ook
价	ool
偷	oom
银	opa
铁	oph
钱	opi
错	opt
传	oqn
創	orl
舒	orn
假	ors
儀	otg
備	oth
舞	otn
缺	oud
创	oul
個	owj
偶	owl
依	oyh
企	oyl
停	oyr
性	phq
皆	pph
够	prn
懂	pth
懷	pyw
靜	qbb
探	qbc
摇	qbo
播	qhd
括	qhj
抓	qhl
折	qhm
势	qik
奏	qkh
帮	qll
挑	qlm
毒	qmw
挺	qnk
规	qob
抱	qpr
据	qsj
报	qsl
握	qsm
掉	qya
抗	qyh
據	qyp
搞	qyr
喝	rap
嗣	rbs
响	rhb
呼	rhf
喊	rih
跟	rma
跳	rml
呵	rmn
跑	rmp
距	rms
号	rmv
吸	rnh
吗	rnv
哭	rri
嚴	rrm
單	rrw
別	rsl
哪	rsq
號	rsy
吳	rvn
嘴	ryp
賢	seb
聚	seh
屬	sew
尉	sfd
驗	sfo
属	shl
尾	shq
聊	sjh
联	sjt
聯	sjv
職	sjy
欧	skn
臨	slo
習	smh
屋	smi
尋	smm
羽	sms
聖	srh
剧	srl
區	srr
群	srt
改	suo
蘭	tan
蒙	tbm
散	tbo
营	tbr
斯	tch
養	tci
养	tcl
業	tct
薄	tei
范	tes
觀	tgb
對	tgd
藝	tgi
歡	tgn
带	tjb
勒	tjk
获	tkh
驚	tks
警	tky
燕	tlp
黃	tml
華	tmt
舊	tog
難	too
萬	twl
農	twm
豈	umr
努	vek
結	vfg
級	vfn
給	vfo
約	vfp
絕	vfs
繼	vfv
統	vfy
婚	vhp
姓	vhq
娘	via
斷	vih
響	vly
將	vmb
结	vmg
终	vmh
线	vmi
续	vmj
练	vmk
绝	vmn
给	vmo
约	vmp
纪	vms
继	vmv
统	vmy
奶	vnh
