# 二简
星	ah
旯	ak
映	al
晚	an
题	ao
易	ap
晴	aq
照	ar
最	as
显	at
曼	aw
暗	ay
肥	ba
脱	bc
见	bh
脏	bi
脖	bj
脆	bn
胸	bp
雕	br
服	bs
爵	bw
甑	ca
歉	cc
剃	ch
郸	cj
尊	cm
弟	cn
谷	co
总	cr
分	cs
蠲	ct
单	cw
相	db
松	dc
整	dk
李	dn
枪	do
构	dp
棒	dq
柜	ds
样	dt
椽	dv
棵	dw
深	eb
消	ef
活	eh
渐	ek
油	el
欢	en
海	eo
清	eq
澡	er
满	et
渭	ew
流	ey
爆	fa
举	fc
烧	fj
烛	fl
光	fm
焕	fn
炸	fo
炮	fp
燥	fr
当	fs
烂	ft
数	fv
烟	fw
炫	fy
声	ga
增	gc
块	gd
馨	ge
款	gf
垢	gh
填	gj
熬	gk
赤	gl
坏	gm
场	gn
起	go
毂	gq
敖	gs
幸	gt
垲	gu
坳	gv
埋	gw
走	gy
自	hb
箪	hc
笑	hh
后	hm
乱	hr
息	hu
乐	hv
翻	hw
良	ia
魔	ic
救	ie
应	if
废	ii
师	il
之	in
资	io
发	iv
廛	iw
鹿	ix
店	iy
煮	ja
真	jb
客	jh
博	ji
事	jl
字	jn
宿	jo
害	jq
寓	jw
实	jy
痕	ka
郁	kb
刹	kc
奎	kg
狗	kh
奔	kj
存	kl
痴	ko
疱	kp
疵	ky
裕	lc
被	ld
裆	lf
装	lg
衫	lh
门	li
褚	lj
将	lm
袱	lo
裎	lr
褡	lt
胤	lv
而	mb
西	mc
动	mi
武	mp
面	mw
色	na
解	nb
剥	ne
及	nh
急	nm
承	nn
张	np
蟹	nq
强	nr
争	ns
凳	nt
鱼	nw
买	ny
但	oa
份	oc
拿	or
舞	ot
似	ov
惧	pb
悦	pc
快	pd
怪	pe
悄	pf
怯	pg
愤	pj
疑	pk
怀	pm
情	pq
切	ps
乌	pv
惊	py
把	qa
静	qb
择	qe
挡	qf
持	qg
拍	qh
春	qk
帮	ql
专	qn
指	qp
扶	qq
摸	qt
拟	qv
摆	qw
吧	ra
员	rb
吵	rf
听	rh
嘛	ri
另	rk
虽	rl
跟	rm
啊	rn
哈	ro
啦	rq
别	rs
哎	rt
叫	rv
嗯	rw
刷	sb
屑	sf
戳	sg
习	si
孱	sn
展	st
郾	sv
匣	sw
前	tb
莱	td
落	te
蔽	tf
首	th
藏	ti
英	tl
花	to
敬	tr
节	ts
朔	tu
药	tv
兼	tx
莲	ty
嵋	ua
崩	ub
峪	uc
崧	ud
峭	uf
峙	ug
峻	ui
崇	uj
岫	ul
岸	um
岁	un
崔	uo
峋	up
岷	ur
岂	us
嵌	ut
幽	uv
崽	uw
嵩	uy
媚	va
姐	vb
嫌	vc
断	vd
妙	vf
娃	vg
婚	vh
妹	vj
姨	vk
经	vm
妈	vn
蠡	vo
她	vp
婊	vq
妇	vs
媒	vt
媸	vu
丝	vv
姆	vw
婷	vy
默	wf
图	wh
圃	wi
国	wm
墅	wn
围	wq
嬲	ws
圜	ww
母	wy
退	ya
望	yb
过	yd
迷	yf
充	yi
市	yl
通	yn
夜	yo
违	yq
离	yu
