# 灵仓二简：首码 + 末根韵码；仅收高频 GB2312 一级字
# 格式：字	简码	全码	综合字频	省码数	净收益
见	ba	bhwa	9627388	2	19254776
购	be	bcpx	939940	2	1879880
且	bi	bmi	5254256	1	5254256
用	bo	bqo	17164167	1	17164167
做	ca	cjrk	13515034	2	27030068
个	co	clo	73711614	1	73711614
你	cu	cnfu	82264951	2	164529902
相	da	dbwa	9135960	2	18271920
梦	de	ddnx	2152920	2	4305840
来	di	dti	50291972	1	50291972
样	do	dtqo	16218381	2	32436762
觉	fa	fbbw	15020552	2	30041104
烦	fe	fmbc	1237759	2	2475518
当	fi	fsmi	14762244	2	29524488
半	fo	fqo	4050317	1	4050317
起	ga	gcrw	17121386	2	34242772
去	ge	gxe	27678206	1	27678206
城	gi	gxhs	3571823	2	7143646
喜	go	grtr	9042288	2	18084576
看	ha	hqbw	37318584	2	74637168
么	he	hxe	43633941	1	43633941
生	hi	hqmi	23456034	2	46912068
和	ho	hdro	27614402	2	55228804
实	ja	jyka	15635571	2	31271142
家	je	jmsc	22172606	2	44345212
都	jo	jnnl	38207333	2	76414666
安	ju	jvu	6689556	1	6689556
太	ke	kxe	11200765	1	11200765
力	ki	ksi	10510883	1	10510883
加	ko	ksro	8000370	2	16000740
有	ku	kbu	86514245	1	86514245
电	la	lwwa	8078689	2	16157378
将	le	lmbx	5244750	2	10489500
间	li	lsni	10151923	2	20303846
被	lu	ldhz	12206647	2	24413294
天	ma	mka	26529111	1	26529111
次	me	mmnc	10574099	2	21148198
到	mo	mgln	40934672	2	81869344
要	mu	mwvu	43199179	2	86398358
又	na	nka	10542607	1	10542607
时	ne	ndxe	34849816	2	69699632
子	nu	ndu	25640776	1	25640776
快	pa	pdka	8078998	2	16157996
长	pe	pce	10482687	1	10482687
够	po	prnn	3527043	2	7054086
也	pu	pdu	40127862	1	40127862
把	qa	qnwa	11854678	2	23709356
找	qe	qxe	6966525	1	6966525
拉	qi	qyti	3771536	2	7543072
接	qu	qytv	7146475	2	14292950
吧	ra	rnwa	9885658	2	19771316
虽	re	rlmx	3612490	2	7224980
只	ri	rci	18529529	1	18529529
跟	ru	rmnv	7369336	2	14738672
己	sa	swa	18110915	1	18110915
层	se	smmx	1714391	2	3428782
那	so	sqnl	34037787	2	68075574
取	su	sjzu	2476130	2	4952260
着	ta	thbw	23755665	2	47511330
药	te	tvmx	1538763	2	3077526
前	to	tbln	16023434	2	32046868
带	tu	tjbb	6287565	2	12575130
收	va	vlck	3936719	2	7873438
以	ve	vxce	36703282	2	73406564
经	vi	vmnm	16311371	2	32622742
如	vo	vro	18754369	1	18754369
国	we	wmgx	18033226	2	36066452
回	wo	wro	16434285	1	16434285
里	wu	wgu	22144964	1	22144964
能	xi	xbpp	31603233	2	63206466
话	xo	xvhr	10909429	2	21818858
发	xu	xvkz	17712941	2	35425882
这	ya	yyka	71621599	2	143243198
过	ye	ydxe	28731912	2	57463824
上	yi	ymi	42187714	1	42187714
高	yo	yrbr	12625497	2	25250994
观	za	zbhw	3845699	2	7691398
对	ze	zdxe	26642890	2	53285780
海	zi	zcwj	4711362	2	9422724
活	zo	zhjr	6248638	2	12497276
