#字	拼音	繁頻	簡頻
⺼	rou	0	0
〇	ling	981	0
㐀	qiu	0	0
㐁	tian	0	0
㐂	xi	0	0
㐃	ma	0	0
㐄	kua	0	0
㐅	wu	0	0
㐆	yi	0	0
㐆	yin	0	0
㐌	si	0	0
㐌	ta	0	0
㐌	yi	0	0
㐎	wen	0	0
㐖	ye	0	0
㐜	chou	0	0
㐜	qiu	0	0
㐡	nuo	0	0
㐡	ru	0	0
㐤	dan	0	0
㐤	qiu	0	0
㐧	di	0	0
㐨	xu	0	0
㐩	xing	0	0
㐪	hai	0	0
㐫	xiong	0	0
㐬	liu	0	0
㐭	lin	0	0
㐮	xiang	0	0
㐯	yong	0	0
㐰	xin	0	0
㐱	zhen	0	0
㐲	dai	0	0
㐲	fu	0	0
㐳	wu	0	0
㐴	pan	0	0
㐵	ru	0	0
㐶	si	0	0
㐷	ma	0	0
㐷	mian	0	0
㐸	ci	0	0
㐸	qian	0	0
㐹	qi	0	0
㐹	yi	0	0
㐺	yin	0	0
㐺	zhong	0	0
㐻	nei	0	0
㐼	cheng	0	0
㐼	zheng	0	0
㐽	feng	0	0
㐾	yuan	0	0
㑀	tai	0	0
㑁	zhuo	0	0
㑂	fang	0	0
㑂	pang	0	0
㑃	ao	0	0
㑄	wu	0	0
㑅	zuo	0	0
㑆	fan	0	0
㑆	xiong	0	0
㑆	yi	0	0
㑇	zhou	0	0
㑈	dong	0	0
㑉	su	0	0
㑊	yi	0	0
㑋	jiong	0	0
㑋	kong	0	0
㑋	qiong	0	0
㑌	kuang	0	0
㑌	wang	0	0
㑍	lei	0	0
㑎	nao	0	0
㑏	zhu	0	0
㑐	shu	0	0
㑑	za	0	0
㑑	zan	0	0
㑒	jian	0	0
㑓	jun	0	0
㑔	xu	0	0
㑕	hui	0	0
㑖	zhong	0	0
㑗	shen	0	0
㑘	jie	0	0
㑙	die	0	0
㑙	yong	0	0
㑚	nuo	0	0
㑛	su	0	0
㑛	shu	0	0
㑜	chi	0	0
㑜	yi	0	0
㑝	long	0	0
㑞	ying	0	0
㑟	beng	0	0
㑟	bo	0	0
㑟	peng	0	0
㑠	shu	0	0
㑡	ji	0	0
㑢	jue	0	0
㑣	lan	0	0
㑤	miao	0	0
㑥	yi	0	0
㑦	li	0	0
㑧	ji	0	0
㑨	yu	0	0
㑩	luo	0	0
㑪	chai	0	0
㑫	qi	0	0
㑬	gu	0	0
㑭	bi	0	0
㑭	pi	0	0
㑮	hun	0	0
㑮	wen	0	0
㑯	xu	0	0
㑰	hui	0	0
㑱	rao	0	0
㑲	bei	0	0
㑲	nan	0	0
㑳	zhou	0	0
㑴	qin	0	0
㑵	han	0	0
㑵	ji	0	0
㑵	jie	0	0
㑵	zha	0	0
㑵	zi	0	0
㑶	xi	0	0
㑷	tai	0	0
㑸	ai	0	0
㑸	yao	0	0
㑸	you	0	0
㑹	hui	0	0
㑺	jun	0	0
㑺	zun	0	0
㑻	ma	0	0
㑼	lve	0	0
㑽	tang	0	0
㑾	xiao	0	0
㑾	yao	0	0
㑿	zhao	0	0
㒀	zha	0	0
㒀	zhai	0	0
㒁	yu	0	0
㒁	yun	0	0
㒂	ku	0	0
㒂	zhuo	0	0
㒃	er	0	0
㒄	nang	0	0
㒄	nen	0	0
㒄	ran	0	0
㒅	qi	0	0
㒆	chi	0	0
㒆	ke	0	0
㒆	xi	0	0
㒆	xiao	0	0
㒆	yan	0	0
㒇	mu	0	0
㒇	wu	0	0
㒈	han	0	0
㒉	tang	0	0
㒊	se	0	0
㒋	si	0	0
㒌	qiong	0	0
㒍	lei	0	0
㒎	sa	0	0
㒎	tan	0	0
㒏	han	0	0
㒐	xun	0	0
㒑	hui	0	0
㒑	kui	0	0
㒒	pu	0	0
㒓	ta	0	0
㒔	du	0	0
㒔	shu	0	0
㒔	tu	0	0
㒕	yang	0	0
㒖	ou	0	0
㒗	tai	0	0
㒘	shu	0	0
㒙	mian	0	0
㒚	wen	0	0
㒚	yin	0	0
㒛	diao	0	0
㒜	yu	0	0
㒝	mie	0	0
㒝	wa	0	0
㒞	jun	0	0
㒞	ke	0	0
㒟	niao	0	0
㒠	xie	0	0
㒡	you	0	0
㒢	yue	0	0
㒣	ying	0	0
㒤	che	0	0
㒤	she	0	0
㒥	feng	0	0
㒦	lei	0	0
㒧	li	0	0
㒨	xian	0	0
㒩	luo	0	0
㒪	xi	0	0
㒫	ji	0	0
㒬	wang	0	0
㒭	kun	0	0
㒮	hui	0	0
㒯	ye	0	0
㒰	quan	0	0
㒱	meng	0	0
㒲	cai	0	0
㒳	liang	0	0
㒴	gu	0	0
㒵	mao	0	0
㒶	gong	0	0
㒷	gua	0	0
㒷	xing	0	0
㒷	xu	0	0
㒸	sui	0	0
㒸	xuan	0	0
㒹	dian	0	0
㒺	wang	0	0
㒻	mao	0	0
㒼	man	0	0
㒽	quan	0	0
㒾	shi	0	0
㒾	yi	0	0
㒿	li	0	0
㓀	bu	0	0
㓁	wang	0	0
㓂	kou	0	0
㓃	chui	0	0
㓃	du	0	0
㓃	zha	0	0
㓄	zhen	0	0
㓅	ting	0	0
㓆	lun	0	0
㓇	wo	0	0
㓈	bei	0	0
㓈	bing	0	0
㓈	fei	0	0
㓈	ye	0	0
㓉	huan	0	0
