# 字符	编码	权重	来源
日	oa	-1000000	cangjie
曰	oa	-1000000	cangjie
昌	oaa	-1000000	cangjie
昍	oaa	-1000000	cangjie
𭥗	oaa	-1000000	cangjie
晶	oaaa	-1000000	cangjie
晿	oaaa	-1000000	cangjie
𣊫	oaaaa	-1000000	cangjie
𣊭	oaaaa	-1000000	cangjie
𪱈	oaaaa	-1000000	cangjie
𲺴	oaaab	-1000000	cangjie
𲬉	oaaaf	-1000000	cangjie
𱗷	oaaag	-1000000	cangjie
曑	oaaah	-1000000	cangjie
𣊖	oaaak	-1000000	cangjie
𬁬	oaaal	-1000000	cangjie
曡	oaaam	-1000000	cangjie
曐	oaaam	-1000000	cangjie
㬪	oaaam	-1000000	cangjie
曟	oaaav	-1000000	cangjie
𣇵	oaab	-1000000	cangjie
𩩪	oaabbb	-1000000	cangjie
𰖦	oaabrs	-1000000	cangjie
㬈	oaabt	-1000000	cangjie
𰤼	oaabt	-1000000	cangjie
𱢕	oaabu	-1000000	cangjie
覸	oaabuu	-1000000	cangjie
𣈁	oaad	-1000000	cangjie
𭬀	oaadd	-1000000	cangjie
𰤮	oaadhe	-1000000	cangjie
𠭒	oaae	-1000000	cangjie
焸	oaaf	-1000000	cangjie
𪹕	oaaf	-1000000	cangjie
𪹶	oaaf	-1000000	cangjie
𬊘	oaaf	-1000000	cangjie
𲬖	oaaf	-1000000	cangjie
𭨖	oaafc	-1000000	cangjie
𤏒	oaaff	-1000000	cangjie
𭧌	oaafu	-1000000	cangjie
𰖹	oaagtj	-1000000	cangjie
鷼	oaahaf	-1000000	cangjie
𪂇	oaahaf	-1000000	cangjie
𩴦	oaahi	-1000000	cangjie
暒	oaahm	-1000000	cangjie
㫀	oaahml	-1000000	cangjie
𭦠	oaaht	-1000000	cangjie
𣈲	oaahu	-1000000	cangjie
𤬆	oaahvo	-1000000	cangjie
𦦄	oaahx	-1000000	cangjie
𣌸	oaail	-1000000	cangjie
𭥳	oaaj	-1000000	cangjie
龧	oaaja	-1000000	cangjie
𰖊	oaajk	-1000000	cangjie
𣉬	oaajnd	-1000000	cangjie
暥	oaajv	-1000000	cangjie
𲓅	oaaks	-1000000	cangjie
㫜	oaam	-1000000	cangjie
𲤚	oaamd	-1000000	cangjie
𤦉	oaamg	-1000000	cangjie
暘	oaamh	-1000000	cangjie
𣈜	oaami	-1000000	cangjie
晘	oaamj	-1000000	cangjie
𣉆	oaamo	-1000000	cangjie
㫯	oaamu	-1000000	cangjie
𣊐	oaamv	-1000000	cangjie
𣊺	oaana	-1000000	cangjie
𰷙	oaanbc	-1000000	cangjie
𭧴	oaand	-1000000	cangjie
𣋆	oaang	-1000000	cangjie
𣊱	oaanh	-1000000	cangjie
𱢤	oaanh	-1000000	cangjie
𣌙	oaank	-1000000	cangjie
𣣘	oaano	-1000000	cangjie
𱢚	oaano	-1000000	cangjie
𰖻	oaanw	-1000000	cangjie
𢛝	oaap	-1000000	cangjie
晹	oaaph	-1000000	cangjie
𣈀	oaapp	-1000000	cangjie
暍	oaapv	-1000000	cangjie
𲍽	oaapym	-1000000	cangjie
𣋁	oaase	-1000000	cangjie
𲤽	oaase	-1000000	cangjie
𰷙	oaashc	-1000000	cangjie
曝	oaate	-1000000	cangjie
𭨋	oaatj	-1000000	cangjie
𭨃	oaatp	-1000000	cangjie
𣌈	oaatr	-1000000	cangjie
𪱆	oaatv	-1000000	cangjie
𣌑	oaaud	-1000000	cangjie
𭦂	oaav	-1000000	cangjie
㬤	oaavf	-1000000	cangjie
𭧸	oaavo	-1000000	cangjie
暻	oaayf	-1000000	cangjie
𮲗	oaayk	-1000000	cangjie
𣈫	oaayt	-1000000	cangjie
𣌝	oaayv	-1000000	cangjie
明	oab	-1000000	cangjie
冐	oab	-1000000	cangjie
𣊧	oabab	-1000000	cangjie
暝	oabac	-1000000	cangjie
暧	oabbe	-1000000	cangjie
曖	oabbe	-1000000	cangjie
𣆹	oabbm	-1000000	cangjie
𣊬	oabbq	-1000000	cangjie
盟	oabbt	-1000000	cangjie
覵	oabbuu	-1000000	cangjie
𧡜	oabbuu	-1000000	cangjie
𣌬	oabcm	-1000000	cangjie
𣉇	oabcn	-1000000	cangjie
𣈄	oabd	-1000000	cangjie
𣈃	oabdu	-1000000	cangjie
焽	oabf	-1000000	cangjie
𣇧	oabf	-1000000	cangjie
𬊚	oabf	-1000000	cangjie
𭎮	oabg	-1000000	cangjie
𣉁	oabgb	-1000000	cangjie
㬊	oabge	-1000000	cangjie
晭	oabgr	-1000000	cangjie
㿢	oabha	-1000000	cangjie
鷳	oabhaf	-1000000	cangjie
𪂡	oabhaf	-1000000	cangjie
𱈯	oabhaf	-1000000	cangjie
𧖽	oabhbt	-1000000	cangjie
㬙	oabhf	-1000000	cangjie
䳟	oabhf	-1000000	cangjie
𢒠	oabhhh	-1000000	cangjie
𬀪	oabhu	-1000000	cangjie
𭧏	oabhx	-1000000	cangjie
𢧠	oabi	-1000000	cangjie
猒	oabik	-1000000	cangjie
𡒦	oabikg	-1000000	cangjie
曌	oabjcm	-1000000	cangjie
暈	oabjj	-1000000	cangjie
暉	oabjj	-1000000	cangjie
𣋐	oabjka	-1000000	cangjie
𢢤	oabjrp	-1000000	cangjie
𣈎	oabkd	-1000000	cangjie
㬗	oabkf	-1000000	cangjie
𥀦	oabkhe	-1000000	cangjie
晕	oabkq	-1000000	cangjie
晖	oabkq	-1000000	cangjie
𣌰	oabks	-1000000	cangjie
𫦱	oabks	-1000000	cangjie
𩓷	oabmbc	-1000000	cangjie
𭦈	oabmc	-1000000	cangjie
暖	oabme	-1000000	cangjie
㬊	oabme	-1000000	cangjie
𣈂	oabmg	-1000000	cangjie
𱼫	oabmg	-1000000	cangjie
琞	oabmgi	-1000000	cangjie
𣅣	oabmm	-1000000	cangjie
𣅧	oabmm	-1000000	cangjie
𱵗	oabmmf	-1000000	cangjie
𭨄	oabmp	-1000000	cangjie
晍	oabmr	-1000000	cangjie
勗	oabms	-1000000	cangjie
𲤛	oabms	-1000000	cangjie
𭦊	oabnd	-1000000	cangjie
𢄾	oabnib	-1000000	cangjie
𲤰	oabnin	-1000000	cangjie
𬁐	oabod	-1000000	cangjie
暩	oabof	-1000000	cangjie
𢽵	oabok	-1000000	cangjie
暚	oabou	-1000000	cangjie
𢜏	oabp	-1000000	cangjie
𱊂	oabpm	-1000000	cangjie
晭	oabqr	-1000000	cangjie
𣅻	oabr	-1000000	cangjie
𭥤	oabr	-1000000	cangjie
𪰭	oabsd	-1000000	cangjie
𦑉	oabsmm	-1000000	cangjie
𭞕	oabsp	-1000000	cangjie
𩣶	oabsqf	-1000000	cangjie
昷	oabt	-1000000	cangjie
𧂓	oabtip	-1000000	cangjie
𬁨	oabtk	-1000000	cangjie
𭦗	oabts	-1000000	cangjie
𪓲	oabtu	-1000000	cangjie
𲤠	oabtv	-1000000	cangjie
冒	oabu	-1000000	cangjie
𧴴	oabuc	-1000000	cangjie
𣇜	oabuc	-1000000	cangjie
𣌗	oabue	-1000000	cangjie
𰟀	oabuf	-1000000	cangjie
㬬	oabug	-1000000	cangjie
晛	oabuu	-1000000	cangjie
㒻	oabuu	-1000000	cangjie
