# 词语	拼音	主码	权重	词长	附加词码
啊啊	a a	aaaa	4724	2	aaaar aaaarr
啊啊啊	a a a	aaaaaa	3629	3	aaaaaar aaaaaarr
阿坝	a ba	aaba	1031	2	aaban aabang
阿爸	a ba	aaba	124	2	aaban aabanc
阿巴	a ba	aaba	54	2	aaban aabana
阿巴嘎旗	a ba ga qi	aabagaqi	50	4	aabagaqin aabagaqiny
阿巴斯	a ba si	aabasi	117	3	aabasin aabasint
阿坝州	a ba zhou	aabavb	221	3	aabavbn aabavbnh
阿宝	a bao	aabk	297	2	aabkn aabknj
阿扁	a bian	aabm	218	2	aabmn aabmnh
阿伯	a bo	aabo	125	2	aabon aabono
阿波罗	a bo luo	aabolo	604	3	aabolon aabolonw
阿布扎比	a bu zha bi	aabuvabi	86	4	aabuvabin aabuvabinp
阿炳	a bing	aaby	73	2	aabyn aabynf
阿达	a da	aada	138	2	aadan aadany
阿斗	a dou	aadb	147	2	aadbn aadbny
阿德	a de	aade	335	2	aaden aadenh
阿迪	a di	aadi	296	2	aadin aadiny
阿迪达斯	a di da si	aadidasi	1273	4	aadidasin aadidasint
阿丹	a dan	aadj	57	2	aadjn aadjnb
阿呆	a dai	aadl	291	2	aadln aadlnr
阿朵	a duo	aado	199	2	aadon aadonh
阿杜	a du	aadu	247	2	aadun aadund
阿尔	a er	aaer	1015	2	aaern aaernn
阿尔卑斯	a er bei si	aaerbzsi	281	4	aaerbzsin aaerbzsint
阿尔法	a er fa	aaerfa	576	3	aaerfan aaerfane
阿尔及尔	a er ji er	aaerjier	40	4	aaerjiern aaerjiernn
阿尔泰	a er tai	aaertl	126	3	aaertln aaertlnq
阿尔山	a er shan	aaeruj	164	3	aaerujn aaerujnu
阿凡提	a fan ti	aafjti	142	3	aafjtin aafjtinq
阿福	a fu	aafu	250	2	aafun aafuni
阿富汗	a fu han	aafuhj	1560	3	aafuhjn aafuhjne
阿飞	a fei	aafz	326	2	aafzn aafznn
阿狗	a gou	aagb	99	2	aagbn aagbnk
阿哥	a ge	aage	543	2	aagen aagenm
阿根廷	a gen ting	aagfty	2300	3	aagftyn aagftynn
阿根廷队	a gen ting dui	aagftydv	121	4	aagftydvn aagftydvnn
阿根廷人	a gen ting ren	aagftyrf	100	4	aagftyrfn aagftyrfno
阿甘	a gan	aagj	409	2	aagjn aagjnt
阿公	a gong	aags	104	2	aagsn aagsnc
啊哈	a ha	aaha	230	2	aahar aaharr
阿訇	a hong	aahs	51	2	aahsn aahsnp
阿华	a hua	aahw	128	2	aahwn aahwno
阿花	a hua	aahw	79	2	aahwn aahwnt
阿城	a cheng	aaig	312	2	aaign aaigng
阿娇	a jiao	aajc	1573	2	aajcn aajcnv
阿基米德	a ji mi de	aajimide	69	4	aajimiden aajimidenh
阿贾克斯	a jia ke si	aajwkesi	137	4	aajwkesin aajwkesint
阿姐	a jie	aajx	131	2	aajxn aajxnv
阿喀琉斯	a ka liu si	aakalqsi	43	4	aakalqsin aakalqsint
阿克苏	a ke su	aakesu	783	3	aakesun aakesunt
阿克苏市	a ke su shi	aakesuui	70	4	aakesuuin aakesuuiny
阿拉	a la	aala	839	2	aalan aalanq
阿拉巴马	a la ba ma	aalabama	38	4	aalabaman aalabamann
阿拉伯	a la bo	aalabo	1483	3	aalabon aalabono
阿拉伯人	a la bo ren	aalaborf	153	4	aalaborfn aalaborfno
阿拉伯文	a la bo wen	aalabowf	55	4	aalabowfn aalabowfny
阿拉伯语	a la bo yu	aalaboyu	213	4	aalaboyun aalaboyuni
阿拉丁	a la ding	aalady	241	3	aaladyn aaladynm
阿拉尔	a la er	aalaer	118	3	aalaern aalaernn
阿拉法特	a la fa te	aalafate	56	4	aalafaten aalafatenh
阿拉木图	a la mu tu	aalamutu	46	4	aalamutun aalamutunw
阿拉斯加	a la si jia	aalasijw	1068	4	aalasijwn aalasijwnk
阿拉善	a la shan	aalauj	600	3	aalaujn aalaujnt
阿拉善盟	a la shan meng	aalaujmg	240	4	aalaujmgn aalaujmgna
阿勒泰	a le tai	aaletl	563	3	aaletln aaletlnq
阿勒泰市	a le tai shi	aaletlui	54	4	aaletluin aaletluiny
阿里	a li	aali	2112	2	aalin aalinw
阿里山	a li shan	aaliuj	181	3	aaliujn aaliujnu
阿兰	a lan	aalj	311	2	aaljn aaljnt
阿来	a lai	aall	81	2	aalln aallnd
