⺀	tdaa
⺁	pdaa
⺂	xaaa
⺃	zaaa
⺄	ydaa
⺅	naaa
⺆	ldaa
⺇	qdaa
⺈	raaa
⺉	kda
⺊	idaa
⺋	yyba
⺌	koaa
⺍	vdaa
⺎	gra
⺏	ord
⺐	graa
⺑	oqd
⺒	yyb
⺓	zzs
⺔	zmaa
⺕	xbaa
⺖	uaaa
⺗	uaaa
⺘	daaa
⺙	moaa
⺛	hrd
⺜	kaaa
⺝	qaaa
⺞	idrs
⺟	zy
⺠	yybh
⺡	vaaa
⺢	kva
⺣	uoaa
⺤	pvaa
⺥	pvaa
⺦	tia
⺧	mbaa
⺨	qma
⺩	caaa
⺪	xii
⺫	lkaa
⺬	bkaa
⺭	wsaa
⺮	maaa
⺯	zaaa
⺰	zaaa
⺱	ldos
⺲	lkaa
⺳	wwrd
⺴	wwrd
⺵	ldkd
⺶	ucaa
⺷	ucaa
⺸	iaae
⺹	bmaa
⺺	xba
⺻	xbaa
⺼	qaaa
⺽	nbaa
⺾	eaaa
⺿	eaaa
⻀	iaid
⻁	ih
⻂	wtaa
⻃	fjaa
⻄	fj
⻅	lr
⻆	rld
⻇	rld
⻈	saaa
⻉	loa
⻊	jiaa
⻋	he
⻌	waaa
⻍	waaa
⻎	waaa
⻏	yaaa
⻐	paaa
⻑	cha
⻒	chaa
⻓	ch
⻔	tl
⻕	myvv
⻖	yaaa
⻗	fvaa
⻘	ciq
⻙	biy
⻚	go
⻛	qdos
⻜	ydat
⻝	ox
⻞	oxaa
⻟	oxaa
⻠	oxaa
⻡	zdan
⻢	xa
⻣	lw
⻤	nj
⻥	ra
⻦	rz
⻧	idjo
⻨	cirs
⻩	eako
⻪	jkz
⻫	sond
⻬	sond
⻭	iiuz
⻮	io
⻯	sukz
⻰	gm
⻱	mwx
⻲	rkkz
⻳	rkz
⼹	xbaa
㇀	aaaa
㇁	xaaa
㇂	zaaa
㇃	zaaa
㇄	zaaa
㇅	yaaa
㇆	yaaa
㇇	xaaa
㇈	ydaa
㇉	zaaa
㇊	yaaa
㇋	yaaa
㇌	yaaa
㇍	ydaa
㇎	yaaa
㇏	saaa
㇐	a
㇑	iaaa
㇒	maaa
㇓	maaa
㇔	saa
㇕	xaaa
㇖	xaaa
㇗	zaaa
㇘	xaaa
㇙	zaaa
㇚	iaaa
㇛	zaaa
㇜	zaaa
㇝	saaa
㇞	zaaa
㇟	zaaa
㇠	yda
㇡	yaaa
㇢	maaa
㇣	jaaa
㇤	ydaa
㇥	zaaa
〇	jaa	ja
㐀	iaia	ia
㐁	ajod	aj
㐂	hdhh	hh
㐃	zsi	zi
㐄	mba	mb
㐅	osaa	os
㐆	pdxy	px
㐇	qyyd	qy
㐈	oday	oy
㐉	aiyd	ay
㐊	byda	by
㐋	byda	by
㐌	mayi	my
㐍	pvyd	py
㐎	soyd	sy
㐏	bixy	bx
㐐	zmxy	zx
㐑	rsty	rt
㐒	ydjy	yj
㐓	aijy	aj
㐔	sjyd	sj
㐕	kiay	ky
㐖	bjz	bj
㐗	bmry	br
㐘	ufyd	uy
㐙	ajuy	aj
㐚	bijy	bx
㐛	ngjy	ng
㐜	dvsq	dv
㐝	drjy	dr
㐞	ecyd	ey
㐟	kcyd	ky
