# 三简单字
# 来源：schemas/zhengma/zmsj/zmsj.dict.yaml
# 列：词条	编码	权重	造词码
你	nrk	6	nr
道	wun	1	wu
她	zyi	7	zy
然	rgs	2	rg
里	kbv	1	kb
好	zya	4	zy
得	oka	1	ok
后	paj	3	pa
想	flw	2	fl
起	byy	2	by
头	tgd	2	tg
事	djx	1	dj
很	oxo	1	ox
前	uqk	1	uq
点	iju	1	ij
老	brr	1	br
些	irb	2	ir
意	skw	1	sk
笑	mmg	1	mm
年	mmb	2	mm
从	ood	2	oo
给	zoa	2	zo
明	kqv	1	kq
进	wbn	1	wb
种	mji	5	mj
将	trd	1	tr
本	fav	1	fa
高	sjl	1	sj
最	kcx	1	kc
感	haw	1	ha
怎	miw	1	mi
神	wsk	3	wk
作	nmi	3	nm
吧	jyi	4	jy
觉	vwl	2	vw
次	tro	2	tr
主	scv	1	sc
风	qos	1	qo
相	flv	1	fl
吗	jxv	1	jx
色	ryi	6	ry
别	jyk	1	jy
部	sjy	2	sj
死	arr	1	ar
张	ych	2	yc
战	ijh	1	ij
直	elc	2	el
像	nrj	7	nr
脸	qob	1	qo
呢	jxr	1	jx
东	hko	2	hk
便	nak	1	na
美	ugd	2	ug
轻	hxb	3	hx
接	dsz	2	ds
关	uag	1	ug
望	sqc	3	sq
处	rid	3	ri
安	wdz	1	wz
飞	ytd	4	yt
师	kal	1	ka
刚	lkd	1	lk
跟	jxo	3	jx
空	wbi	1	wb
爱	pwg	2	pw
思	kiw	1	kw
林	ffv	2	ff
场	byo	1	by
受	pwx	2	pw
男	kym	3	ky
海	vmz	1	vm
强	yji	2	yj
该	ssz	1	ss
特	mbd	2	mb
解	rly	3	rl
远	wbr	1	wb
它	wrr	1	wr
电	kzv	1	kz
花	enr	1	en
许	sme	4	sm
转	hbz	1	hb
总	ujw	1	uj
孩	ysz	1	ys
新	sfp	1	sf
物	mro	2	mr
始	zzj	4	zz
满	vea	3	ve
兵	pdo	1	po
离	sol	2	so
似	nzo	1	nz
虽	jiv	2	ji
云	bzz	1	bz
通	wxl	2	wx
哥	aja	1	aj
竟	skr	1	sk
姐	zlc	3	zl
魔	tfn	1	tf
惊	usj	3	us
量	kak	1	ka
往	osc	1	os
剑	obk	1	ob
斯	ecp	1	ep
利	mkd	1	mk
坐	oob	1	oo
合	oaj	1	oa
突	wgs	4	wg
教	bmy	5	by
教	bmm	1	by
紧	kxz	1	kx
影	ksp	1	ks
倒	nhk	1	nh
微	ola	1	ol
步	iko	1	ik
喜	bju	1	bj
越	bhz	1	bh
深	vwo	2	vw
象	rjg	1	rj
容	woj	2	wo
提	dkv	1	dk
服	qyx	1	qy
随	ywg	1	yw
武	ahi	1	ah
哪	jyb	2	jy
站	sij	11	si
奇	gaj	2	ga
刻	szo	1	sz
灵	xuo	1	xu
周	lbj	1	lb
题	kag	1	ka
题	kgo	3	ka
静	cqr	1	cq
伤	nmy	5	nm
功	bym	4	by
系	mzv	1	mz
精	ufc	2	uc
绝	zry	3	zr
民	yhd	1	yh
弟	uyz	4	uy
界	kon	1	ko
终	zrt	1	zr
整	fjm	1	fj
字	wya	2	wy
交	soo	1	so
欢	xro	1	xr
帮	cyl	1	cy
夫	bod	2	bo
友	gxs	4	gx
夜	snr	1	sn
制	mlk	2	ml
哈	joa	1	jo
形	aep	1	ae
息	nwz	2	nw
南	edl	2	el
冲	tji	3	tj
冲	tdj	2	tj
急	rxw	1	rx
决	txg	2	tx
报	dyx	1	dy
兴	vao	1	va
及	yms	6	ym
语	sbx	1	sb
刘	skd	3	sk
慢	ukl	2	uk
收	zmo	6	zm
雪	fxb	4	fx
备	rki	2	rk
底	trs	3	tr
领	owg	1	ow
准	tni	2	tn
尽	xst	1	xs
答	moa	1	mo
华	nre	1	nr
众	ooo	1	oo
视	wlr	1	wl
留	rsy	5	rs
敢	xcm	1	xc
跑	jir	2	jr
跑	jry	6	jr
未	bko	2	bk
够	rjr	1	rj
嘴	jil	1	ji
断	zup	1	zu
害	wcj	1	wc
久	rsv	1	rs
北	trr	3	tr
论	sor	3	so
德	oel	1	oe
则	lok	1	lk
脚	qbz	3	qb
