# 二简单字
# 来源：schemas/zhengma/zmsj/zmsj.dict.yaml
# 列：词条	编码	权重	造词码
有	gq	1	gq
来	bv	1	bk
到	hk	1	hk
就	sj	1	sj
着	ul	1	ul
们	nt	1	nt
道	wu	1	wu
那	yb	1	yb
出	zz	1	zz
时	kd	1	kd
看	ml	1	ml
里	kb	1	kb
得	ok	1	ok
可	aj	1	aj
会	ob	1	ob
以	zo	1	zo
后	pj	1	pa
都	by	1	by
和	mj	1	mj
能	zq	1	zq
只	jo	1	jo
事	dj	1	dj
样	fu	1	fu
家	wg	1	wg
面	gj	1	gj
如	zj	1	zj
开	ae	1	ae
无	ag	1	ag
前	uq	1	uq
点	ij	1	ij
经	zx	1	zx
把	dy	1	dy
些	ib	1	ir
于	ad	1	ad
年	mm	1	mm
眼	lx	1	lx
当	kx	1	kx
真	el	1	el
两	al	1	al
从	oo	1	oo
动	bz	1	bz
间	tk	1	tk
国	jc	1	jc
被	wx	1	wx
让	si	1	si
打	da	1	da
问	tj	1	tj
明	kq	1	kq
法	vb	1	vb
才	dm	1	dm
此	ir	1	ir
将	tr	1	tr
实	wt	1	wt
分	oy	1	oy
学	vw	1	vw
感	hw	1	ha
听	jp	1	jp
军	wh	1	wh
外	ri	1	ri
做	ne	1	ne
光	kg	1	kg
主	sc	1	sc
风	qo	1	qo
果	kf	1	kf
全	oc	1	oc
与	az	1	az
公	oz	1	oz
候	ni	1	ni
相	fl	1	fl
吗	jx	1	jx
等	ms	1	mb
别	jk	1	jy
死	ar	1	ar
太	gs	1	gs
张	yc	1	yc
重	mk	1	mk
比	rr	1	rr
快	ux	1	ux
叫	jz	1	jz
应	tv	1	tv
放	sm	1	sm
难	xn	1	xn
更	ak	1	ak
先	mr	1	mr
机	fq	1	fq
常	kw	1	kw
完	wb	1	wb
并	ue	1	ue
信	ns	1	ns
内	lo	1	lo
原	gn	1	gn
带	ew	1	ew
找	dh	1	dh
吃	jm	1	jm
使	na	1	na
变	sx	1	sx
受	pw	1	pw
海	vm	1	vm
路	jr	1	jr
加	yj	1	yj
今	os	1	os
该	ss	1	ss
性	um	1	um
表	cr	1	cr
电	kz	1	kz
花	en	1	en
黑	lb	1	lb
红	zb	1	zb
总	uj	1	uj
新	sf	1	sf
反	px	1	px
似	nz	1	nz
万	ay	1	ay
失	mo	1	mo
五	bx	1	bx
早	ke	1	ke
流	vs	1	vs
怕	un	1	un
越	bh	1	bh
冷	to	1	to
落	ev	1	ev
提	dk	1	dk
传	nb	1	nb
钱	ph	1	ph
每	mz	1	mz
随	yw	1	yw
管	mw	1	mw
数	uz	1	uz
房	ws	1	ws
衣	sr	1	sr
化	nr	1	nr
百	an	1	an
拿	om	1	oa
代	nh	1	nh
办	yo	1	yo
般	pq	1	pq
件	nm	1	nm
民	yh	1	yh
近	wp	1	wp
青	cq	1	cq
条	rf	1	rf
整	fm	1	fj
晚	kr	1	kr
切	hy	1	hy
即	xy	1	xy
或	hj	1	hj
帮	cy	1	cy
员	jl	1	jl
各	rj	1	rj
令	ow	1	ow
阳	yk	1	yk
极	fy	1	fy
若	eg	1	eg
领	og	1	ow
消	vk	1	vk
克	ej	1	ej
敢	xc	1	xc
乐	rk	1	rk
求	dv	1	dv
断	zu	1	zu
元	br	1	br
单	uk	1	uk
格	fr	1	fr
朝	ek	1	ek
照	ky	1	ky
装	tb	1	tb
破	gx	1	gx
期	eq	1	eq
诉	sp	1	sp
持	db	1	db
校	fs	1	fs
速	wf	1	wf
热	dq	1	dq
细	zk	1	zk
建	yx	1	yx
另	jy	1	jy
取	cx	1	cx
展	xe	1	xe
续	ze	1	ze
掉	di	1	di
观	xl	1	xl
甚	ez	1	ez
争	rx	1	rx
角	rl	1	rl
斗	te	1	te
需	fg	1	fg
左	gb	1	gb
调	sl	1	sl
类	ug	1	ug
派	vp	1	vp
支	ex	1	ex
跳	jv	1	jv
肯	iq	1	iq
您	nw	1	nr
顾	gy	1	gy
群	xu	1	xj
铁	pm	1	pm
联	cu	1	cu
密	ww	1	ww
节	ey	1	ey
讲	sb	1	sb
推	dn	1	dn
统	zs	1	zs
味	jb	1	jb
份	no	1	no
区	ho	1	ho
汉	vx	1	vx
买	xt	1	xt
料	ut	1	ut
初	wy	1	wy
巨	hx	1	hx
独	qi	1	qi
既	xh	1	xh
顺	ng	1	ng
费	yn	1	yn
仍	ny	1	ny
忘	sw	1	sw
警	er	1	er
河	va	1	va
查	fk	1	fk
组	zl	1	zl
权	fx	1	fx
卷	uy	1	uy
防	ys	1	ys
助	ly	1	ly
胜	qm	1	qm
据	dx	1	dx
共	eo	1	eo
须	pg	1	pg
翻	pk	1	pk
闻	tc	1	tc
阴	yq	1	yq
逃	wv	1	wv
层	xb	1	xb
君	xj	1	xj
置	le	1	le
按	dw	1	dw
狠	qx	1	qx
景	ks	1	ks
齐	sn	1	sn
脱	qu	1	qu
设	sq	1	sq
州	vn	1	vn
败	lm	1	lm
店	ti	1	ti
专	bs	1	bz
弹	yu	1	yu
标	fb	1	fb
摸	de	1	de
休	nf	1	nf
湖	vq	1	ve
素	cz	1	cz
洋	vu	1	vu
肩	wq	1	wq
验	xo	1	xo
套	gc	1	gc
杂	qf	1	qf
旧	ik	1	ik
镇	pe	1	pe
源	vg	1	vg
曲	kk	1	kk
躲	nq	1	nq
弃	sz	1	sz
省	km	1	km
碰	gu	1	gu
闭	td	1	td
丈	ao	1	ao
软	hr	1	hr
增	bu	1	bu
项	bg	1	bg
率	sv	1	sv
横	fe	1	fe
剩	mt	1	mt
缺	mx	1	me
补	wi	1	wi
纯	zh	1	zh
农	wr	1	wr
盛	hl	1	hy
县	lz	1	lz
测	vl	1	vl
炼	uh	1	uh
骗	xw	1	xw
宽	we	1	we
编	zw	1	zw
录	xk	1	xk
暂	hp	1	hp
洲	vv	1	vv
猪	qb	1	qb
废	tz	1	tz
启	wj	1	wj
款	bb	1	bb
版	np	1	np
港	ve	1	ve
末	af	1	af
脉	qs	1	qs
奉	cb	1	cb
钻	pi	1	pi
减	th	1	th
颇	xg	1	xg
炎	uu	1	uu
溜	vr	1	vr
钢	pl	1	pl
审	wk	1	wk
予	xx	1	xx
拨	dz	1	dz
粮	us	1	us
耗	cm	1	cm
洒	vf	1	vf
疗	ty	1	ty
渡	vt	1	vt
割	wc	1	wc
伪	nu	1	nu
赔	ls	1	ls
税	mu	1	mu
册	qq	1	qq
贱	lh	1	lh
拆	dp	1	dp
搏	df	1	df
泼	vz	1	vz
填	be	1	be
棉	fn	1	fn
聘	ck	1	ck
腻	qh	1	qh
轨	hq	1	hq
肿	qj	1	qj
贩	lp	1	lp
胀	qc	1	qc
膜	qe	1	qe
歧	ie	1	ie
凸	iy	2	ia
凹	iy	1	iy
跺	jq	1	jq
吨	jh	1	jh
札	fz	1	fz
滤	vi	1	vi
壹	bw	1	bw
柒	vh	1	vh
铬	pr	1	pr
