# 二简
最	ae
量	ag
影	ah
时	ai
题	ao
晚	au
爱	be
然	bf
刚	bn
同	br
见	bu
眼	bv
分	ch
单	cj
总	cp
机	dn
想	dp
样	dq
相	du
清	eb
深	ed
对	ei
海	ej
欢	eo
活	er
流	eu
常	fb
学	fd
数	fk
当	fm
觉	fu
地	gd
声	gh
却	gl
走	go
喜	gr
城	gs
起	gu
越	gv
乐	hd
系	hf
重	hg
身	hh
笑	hk
所	hl
生	hm
处	ho
和	hr
算	ht
自	hu
很	hv
师	ib
发	ie
谁	ig
为	ii
许	ij
神	il
让	im
之	io
能	ip
话	ir
成	is
记	iu
者	ja
真	jc
实	jk
直	jm
事	jn
家	jo
老	jp
容	jr
考	js
完	ju
轻	km
加	kr
间	la
被	le
将	li
片	ll
问	lr
门	ls
非	ly
两	mb
理	mg
而	ml
到	mn
死	mp
可	mr
动	ms
现	mu
西	mw
多	ni
马	nm
解	nq
名	nr
色	nu
外	ny
错	oa
他	od
全	og
会	oi
做	ok
命	ol
但	om
气	on
怎	op
知	or
们	os
位	ot
怕	pa
情	pb
快	pk
性	pm
打	qn
提	qo
拉	qt
把	qu
接	qv
呀	rh
虽	ri
听	rl
吗	rm
吃	rn
呢	rp
哈	rr
啦	rt
吧	ru
跟	rv
带	tb
其	tc
前	tn
花	tp
她	vd
经	vm
黑	wf
国	wi
男	ws
音	ya
通	yb
亲	yd
变	ye
还	yf
过	yi
部	yl
意	yp
连	yq
高	yr
方	ys
进	yt
道	yu
