# 三简 (Top 1000)
盟	abt
影	afh
星	ahm
即	ail
既	aiu
晓	aju
量	amg
是	amo
晒	amw
晚	anu
题	aoo
易	aph
最	ase
晚	asu
景	ayf
爱	bbe
彩	bdh
脚	bgl
股	bhe
胜	bhm
刚	bkn
具	bmc
助	bms
赚	boc
脸	bom
则	bon
贴	bor
服	bse
膜	btk
具	buc
睡	bum
眼	buv
脑	byk
写	bym
欲	cro
曾	cwa
兽	cwr
禁	ddf
梦	ddi
楚	ddo
树	dei
楼	dfv
桥	dhl
格	dhr
整	dkm
极	dne
杨	dnh
梅	doj
枪	dou
梅	doy
棒	dqq
校	dyk
核	dyo
榜	dys
温	eat
深	ebd
测	ebn
观	ebu
波	ede
没	ehe
活	ehr
洗	ehu
派	ehv
潘	ehw
湖	ejb
演	ejc
沈	elu
源	emf
河	emr
酒	emw
汤	enh
涨	eno
海	eoj
海	eoy
鸡	epm
清	eqb
满	etb
港	etu
滴	eyb
游	eyd
液	eyk
湾	eyn
流	eyu
流	eyv
爆	fae
常	fbb
学	fbd
堂	fbg
党	fbu
精	fdb
粉	fdh
料	fdj
糖	fdr
省	fhu
券	fqh
卷	fqu
数	fvk
款	gfo
封	ggi
墙	ggw
却	gil
城	gis
场	gnh
超	gor
起	gou
越	gov
均	gpm
喜	grr
塔	gtr
的	hai
的	ham
制	hbn
算	hbt
季	hdd
称	hdf
程	hdg
秒	hdh
科	hdj
租	hdm
利	hdn
秀	hds
箱	hdu
等	hgi
先	hgu
靠	hgy
篇	hhb
须	hho
笔	hhu
篇	hib
段	hje
重	hjg
质	hjo
管	hjr
州	hll
第	hnh
徐	hod
往	hog
得	hoi
微	hok
行	hon
德	hop
爬	hou
很	hov
印	hpl
剩	hpn
物	hqh
特	hqi
看	hqu
靠	hqy
所	hsl
房	hss
系	hvf
翻	hwm
般	hye
船	hyr
盘	hyt
能	ibp
魔	ici
魔	idi
救	iek
神	ifl
视	ifu
福	ifw
底	ihi
底	ihm
为	iki
师	ilb
州	ill
归	ilm
净	imd
凌	ime
准	img
冷	imi
冷	iml
冯	imm
次	imo
减	imr
座	iog
房	iss
盛	ist
请	ivb
课	ivd
发	ive
谈	ivf
谁	ivg
谢	ivi
评	ivj
读	ivk
让	ivm
该	ivo
论	ivp
话	ivr
讲	ivt
说	ivu
都	jal
真	jbc
南	jbj
直	jbm
直	jbv
穿	jch
容	jcr
教	jdk
客	jhr
戴	jic
博	jii
韩	jjs
者	jka
考	jks
事	jln
宗	jmf
室	jmg
宝	jmi
家	jmo
完	jmu
卖	jnk
故	jrk
额	jro
官	jrr
克	jru
寒	jtm
赛	jto
宽	jtu
寒	jty
真	juc
猪	kha
狂	khg
独	khi
狗	khr
狼	khv
猫	khw
病	kmb
奈	kmf
症	kmm
奇	kmr
痛	knb
转	kqi
较	kqk
轻	kqm
输	kqn
软	kqo
轮	kqp
套	ksi
帖	lbr
被	lde
装	lgv
师	llb
版	lle
牌	llj
片	lll
归	llm
片	lln
顺	llo
将	lmi
贵	lmo
非	lmy
版	lne
牌	lnj
费	lno
闹	lsb
丽	mbb
零	mbi
而	mbl
雪	mbm
神	mfl
祝	mfu
福	mfw
球	mge
环	mgf
班	mgg
致	mgk
到	mgn
玩	mgu
原	mhf
雅	mhg
动	mis
形	mjh
敢	mjk
形	mkh
更	mlk
州	mll
画	mlw
雨	mly
丽	mmb
次	mmo
列	mnn
顶	mno
两	mob
武	mpm
破	mre
硬	mrk
码	mrm
歌	mro
哥	mrr
所	msl
房	mss
形	mth
夏	mue
顾	muo
顾	mvo
票	mwf
面	mwl
副	mwn
酷	mwr
配	mwu
正	mym
象	nao
免	nau
解	nbq
多	nii
敢	njk
建	nkq
随	nlb
陈	nld
阵	nlq
阿	nlr
防	nls
院	nlu
限	nlv
录	nme
强	nri
饭	nve
马	nvm
馆	nvr
鲁	nwa
复	oae
份	och
傻	ohe
低	ohi
低	ohm
舍	ohr
令	oii
领	oio
念	oip
含	oir
优	oiu
食	oiv
做	ojk
值	ojm
短	okt
修	olh
佛	oln
们	ols
会	omi
便	omk
令	oml
倒	omn
何	omr
像	ono
仍	ons
价	ool
伤	oos
错	opa
铺	opb
镇	opc
钱	opj
钢	opk
铁	opo
键	opq
铝	opr
镜	opu
银	opv
传	oqi
假	ore
盒	ort
舞	otq
创	oun
似	ovo
偶	owb
每	owi
企	oym
停	oyn
信	oyr
依	oyv
慢	pae
性	phm
疑	pko
皆	ppa
情	pqb
够	prn
懂	ptg
惊	pyf
鸟	pym
岛	pyu
提	qao
静	qbd
持	qgi
投	qhe
折	qhl
抓	qho
秦	qkd
帮	qlb
排	qly
素	qmf
毒	qmh
毒	qmi
毒	qmj
责	qmo
挺	qng
换	qnk
抢	qou
抱	qpu
报	qse
据	qsr
摆	qwi
搞	qyb
掉	qyj
抗	qyn
接	qyv
喝	rap
嘅	rau
喝	rav
哦	rhi
听	rhl
咯	rhr
嘅	rhu
嘛	ric
嘛	rid
喊	rir
虽	rli
踩	rmd
呀	rmh
跳	rmo
路	rmr
号	rms
跑	rmu
跟	rmv
吗	rnm
啊	rnr
哈	ror
啦	rqt
哭	rrk
器	rrr
哪	rsl
别	rsn
噶	rtv
嘴	ryb
聚	seo
属	shb
免	shu
联	sjk
聊	sjl
欧	sko
屋	smg
层	smi
那	sql
剧	srn
群	srq
改	suk
蔡	tbf
散	tbk
前	tbn
营	tbr
养	tcl
落	ter
范	teu
善	tgr
盖	tgt
莪	thi
着	thu
藏	tis
著	tja
带	tjb
鞋	tjg
苏	tkc
获	tkk
郑	tkl
黄	tlc
蒋	tli
英	tlk
萧	tll
蓝	tlt
其	tmc
苑	tnu
养	tol
着	tqu
瓶	ttn
药	tvi
峰	uhj
断	vdl
收	vlk
编	vmb
练	vmc
练	vmd
级	vme
约	vmi
线	vmj
组	vmm
缘	vmo
纸	vmp
给	vmr
绝	vmu
妈	vnm
界	wcl
圈	wfu
野	wgn
图	why
罗	wli
罪	wly
国	wmi
园	wmu
界	wol
